,state,district,year,female_pct,age18_24_pct,age25_34_pct,median_age,unmarried_partner_pct,male_living_alone_pct,bachelors_deg_or_higher_pct,past_year_births_to_unmarried_women_pct,civilian_veteran_pct,live_same_house_past_year_pct,foreign_born_proportion_from_LatinAmerica,speak_other_language_at_home_pct,labor_force_unemployed_pct,public_transit_commuter_pct,no_health_insurance_pct,poverty_rate_pct,median_housing_value,median_household_income,food_stamp_benefits_pct,foreign_to_native_born_ratio
CT_03_2018,CT,3,2018,51.7,11.1,13.6,39.4,2.3,13.7,35.5,30.7,5.5,86.5,38.2,19.6,4.5,4.0,4.1,10.4,252200,69178,12.8,0.13041605732324307
CT_04_2018,CT,4,2018,51.4,8.8,11.4,40.0,1.9,10.3,49.2,30.1,3.9,88.3,54.5,32.2,4.6,11.9,9.3,9.1,507700,94547,8.6,0.31288345742209817
CT_05_2018,CT,5,2018,51.2,8.2,12.7,42.4,2.4,12.1,36.5,28.5,5.7,90.0,44.4,25.1,3.9,2.3,6.0,9.9,270100,71995,15.4,0.17618884651472005
DE_01_2018,DE,1,2018,51.6,8.7,13.6,40.1,2.4,11.4,31.5,36.2,8.5,87.2,45.6,13.9,3.1,2.2,5.4,13.6,252800,62852,10.4,0.11406966967245201
DC_98_2018,DC,98,2018,52.6,10.8,23.4,34.0,2.7,18.9,57.3,42.3,4.9,80.9,42.8,17.6,4.6,32.7,3.8,16.6,607200,82372,13.2,0.17202826492285242
FL_01_2018,FL,1,2018,49.6,9.8,14.2,38.5,2.5,13.2,27.8,38.8,17.0,81.2,37.7,8.4,3.0,0.3,11.2,13.6,175700,55229,11.9,0.055550759845934404
FL_02_2018,FL,2,2018,48.9,9.6,11.8,41.9,2.0,12.6,24.6,38.7,12.6,83.2,42.1,7.9,3.3,0.2,11.4,15.8,160200,48838,13.4,0.05150899072550809
FL_03_2018,FL,3,2018,50.6,12.5,13.5,37.6,2.5,14.1,26.1,44.2,11.9,82.6,42.2,11.0,3.2,1.9,10.9,18.2,154000,47611,12.9,0.07398436239943157
FL_04_2018,FL,4,2018,50.9,8.4,14.6,39.6,2.2,11.6,40.0,29.3,11.4,81.6,36.4,13.5,2.9,0.2,10.1,9.5,256100,68964,7.2,0.11895699286965346
FL_05_2018,FL,5,2018,51.4,12.5,15.9,34.0,2.6,13.8,21.3,52.7,9.0,79.2,46.6,10.8,4.8,2.8,12.4,22.0,125900,40920,21.9,0.08249802554616659
FL_06_2018,FL,6,2018,51.2,7.6,10.9,47.9,2.9,12.8,23.7,34.5,12.3,85.0,44.4,12.6,2.5,1.1,11.4,14.5,187100,48197,12.6,0.08191872518981341
FL_07_2018,FL,7,2018,51.3,11.3,16.1,36.5,2.7,12.4,41.5,26.1,5.7,84.6,51.8,26.8,2.6,1.1,8.6,13.2,238700,61423,9.5,0.1560264595606325
FL_08_2018,FL,8,2018,51.5,7.5,10.4,48.5,2.1,13.4,30.0,27.4,13.4,85.9,52.0,11.7,2.4,0.5,9.9,11.5,197100,52180,9.6,0.09444718339894775
FL_09_2018,FL,9,2018,50.9,8.9,13.5,38.3,2.2,10.2,23.4,49.3,7.7,86.3,75.1,41.9,2.9,0.8,13.9,14.5,187700,50964,18.0,0.21064965426728768
FL_10_2018,FL,10,2018,51.0,9.3,16.9,35.0,2.3,12.3,30.2,34.4,4.6,83.1,77.9,38.0,3.7,3.3,15.9,16.0,227100,50963,17.0,0.34374964585508794
FL_11_2018,FL,11,2018,52.1,6.0,8.1,55.5,2.6,11.0,22.0,46.9,13.8,85.3,51.7,10.3,3.0,0.3,9.8,12.4,159200,46001,10.9,0.07206405817801147
FL_12_2018,FL,12,2018,51.5,6.9,10.3,46.5,2.8,12.3,27.2,26.8,11.1,84.2,43.2,13.0,2.9,0.3,10.5,11.5,180200,52573,11.2,0.12488251659204996
FL_13_2018,FL,13,2018,52.0,6.7,13.2,46.9,3.5,14.9,30.5,40.6,9.9,84.8,36.0,15.4,3.2,2.2,12.1,13.0,191600,50724,11.0,0.15155297711078644
FL_14_2018,FL,14,2018,51.0,10.5,15.8,37.1,2.8,15.1,36.4,50.3,7.1,78.7,68.1,31.7,3.7,1.8,13.1,17.6,232600,51774,15.0,0.25353744284428154
FL_15_2018,FL,15,2018,51.5,8.4,13.9,37.7,2.3,10.3,25.2,39.7,9.1,84.4,63.7,23.5,2.8,0.5,12.4,15.0,177000,53367,13.3,0.15014693942893734
FL_16_2018,FL,16,2018,51.4,6.1,10.7,47.3,2.3,11.8,33.6,31.0,11.1,84.6,53.4,18.0,2.5,0.6,11.3,10.1,242200,59437,8.8,0.15009230864847992
FL_17_2018,FL,17,2018,50.7,6.2,9.6,51.5,2.4,12.2,21.7,35.9,12.1,86.3,58.7,16.3,2.5,1.1,11.6,14.2,170300,49449,10.8,0.1225790907307164
FL_18_2018,FL,18,2018,51.5,7.4,10.0,47.7,2.1,12.3,32.0,32.9,9.2,85.8,65.8,21.9,2.7,0.5,11.0,10.1,253000,58754,8.6,0.19049190134222185
FL_19_2018,FL,19,2018,51.5,6.6,9.9,51.3,2.4,11.4,32.4,58.6,9.6,85.4,71.9,23.5,2.5,0.7,12.6,10.5,265500,56828,7.7,0.2258618275125248
FL_20_2018,FL,20,2018,51.1,9.2,14.7,36.6,2.3,13.0,21.1,47.7,4.0,84.8,88.2,37.5,4.4,2.8,16.6,17.6,188100,44436,21.6,0.4943813301498055
FL_21_2018,FL,21,2018,51.4,6.7,12.0,46.1,2.2,12.9,35.2,29.4,6.6,85.6,77.2,37.5,3.4,1.8,14.9,12.0,267200,58410,9.6,0.39672684230297617
FL_22_2018,FL,22,2018,50.4,7.2,12.6,45.1,2.7,17.3,39.6,31.4,6.7,82.1,71.7,35.0,3.7,1.3,13.7,11.3,312900,62353,7.2,0.41849858871609685
FL_23_2018,FL,23,2018,52.2,7.9,12.3,41.0,2.5,10.2,40.6,36.6,4.3,86.2,76.4,47.5,3.5,1.5,11.7,10.2,316400,66872,8.7,0.5629826339869688
FL_24_2018,FL,24,2018,51.3,8.4,15.5,37.0,2.2,15.0,20.4,50.6,2.6,87.1,92.2,59.1,5.8,6.8,21.9,20.5,203900,41172,28.6,0.7837125798408623
FL_25_2018,FL,25,2018,51.0,8.3,13.3,42.7,2.2,9.3,24.1,43.0,3.5,87.7,95.1,77.2,2.5,2.1,18.8,16.2,267100,50120,25.2,1.2881616194768584
FL_26_2018,FL,26,2018,50.8,9.8,14.0,38.7,2.3,8.2,27.5,42.2,3.3,89.2,93.7,72.3,3.4,1.8,17.6,14.4,295800,56496,23.1,1.0001003613006825
FL_27_2018,FL,27,2018,51.7,7.4,14.7,42.1,2.4,14.3,40.8,36.1,2.3,86.2,90.9,74.9,2.9,7.2,13.0,15.0,395000,56183,21.8,1.1640668396067047
GA_01_2018,GA,1,2018,50.9,10.4,15.1,35.6,2.6,12.3,25.2,44.9,12.3,80.1,45.1,8.5,4.0,1.1,14.2,16.6,152800,51223,14.0,0.05195785040440752
GA_02_2018,GA,2,2018,51.5,10.4,13.8,36.0,2.0,13.4,17.2,61.7,8.2,81.3,62.1,5.3,5.3,1.0,14.2,25.0,99000,37569,23.2,0.033905219986686996
GA_03_2018,GA,3,2018,51.1,9.3,11.9,38.6,2.3,11.8,27.6,44.0,9.4,85.8,45.9,7.6,3.7,0.5,11.1,14.1,169900,58949,11.5,0.06158818376778325
GA_04_2018,GA,4,2018,53.0,8.9,13.6,36.4,1.6,10.8,30.7,47.9,6.9,87.6,43.7,19.6,4.2,3.9,15.2,14.2,162900,57349,14.8,0.20154127830082852
GA_05_2018,GA,5,2018,51.8,12.9,19.2,33.0,2.8,19.3,40.9,52.1,5.3,78.6,36.2,11.5,4.6,10.7,13.1,19.2,209800,51810,17.3,0.09630186632824064
GA_06_2018,GA,6,2018,51.2,6.9,14.3,37.8,1.6,10.1,62.0,12.3,5.2,86.2,33.4,27.9,2.7,3.6,10.6,7.2,386800,92317,3.9,0.284691331604308
GA_07_2018,GA,7,2018,50.7,8.6,12.6,36.1,1.5,7.5,42.6,19.5,5.7,88.0,42.5,34.5,3.0,1.3,16.8,10.0,259100,74868,6.3,0.3479430102411298
GA_08_2018,GA,8,2018,50.6,9.9,12.9,37.5,2.0,11.3,23.0,42.5,10.0,86.7,58.0,6.8,3.7,0.3,14.1,19.7,120000,45279,15.3,0.0460975159239464
GA_09_2018,GA,9,2018,50.7,8.9,10.8,41.4,1.9,10.4,23.6,29.1,8.4,86.9,72.9,14.1,2.3,0.3,15.1,13.4,178500,56754,11.5,0.08920231807469416
GA_10_2018,GA,10,2018,51.2,12.1,12.3,36.4,1.6,10.4,26.2,39.7,7.2,85.0,37.7,7.6,2.7,0.9,10.2,15.7,172100,53479,12.2,0.055428631179088465
GA_11_2018,GA,11,2018,50.9,9.5,14.6,36.9,2.0,11.4,41.4,21.8,6.6,84.4,54.9,16.3,2.7,0.9,11.5,9.8,246300,72445,5.6,0.14029132764201963
GA_12_2018,GA,12,2018,50.8,11.9,13.3,35.9,1.9,12.7,21.5,47.7,10.7,84.5,53.4,7.7,4.0,0.7,13.6,19.7,119600,43177,17.0,0.047999060632681285
