Georgia 2,D+6,Sanford Bishop,Democratic,1992,Incumbent re-elected.,√ Sanford Bishop (Democratic) 59.6%[84]
,,,,,,Herman West (Republican) 40.4%[84]
Georgia 3,R+18,Drew Ferguson,Republican,2016,Incumbent re-elected.,√ Drew Ferguson (Republican) 65.5%[84]
,,,,,,Chuck Enderlin (Democratic) 34.5%[84]
Georgia 4,D+24,Hank Johnson,Democratic,2006,Incumbent re-elected.,√ Hank Johnson (Democratic) 78.8%[84]
,,,,,,Joe Profit (Republican) 21.2%[84]
Georgia 5,D+34,John Lewis,Democratic,1986,Incumbent re-elected.,√ John Lewis (Democratic) Unopposed[84]
,,,,,,David McCaigue (L)[85]
Georgia 6,R+8,Karen Handel,Republican,2017 (Special),Incumbent lost re-election.,√ Lucy McBath (Democratic) 50.5%[86][84]
,,,,,New member elected.,Karen Handel (Republican) 49.5%[84]
,,,,,Democratic gain.,"Jeremy ""Carlton Heston"" Stubbs (write-in)[84][87][88]"
Georgia 7,R+9,Rob Woodall,Republican,2010,Incumbent re-elected.,√ Rob Woodall (Republican) 50.07%[84]
,,,,,,Carolyn Bourdeaux (Democratic) 49.93%[84]
Georgia 8,R+15,Austin Scott,Republican,2010,Incumbent re-elected.,√ Austin Scott (Republican)[84]
,,,,,,Jimmy Cooper (G/Write-in)[89]
Georgia 9,R+31,Doug Collins,Republican,2012,Incumbent re-elected.,√ Doug Collins (Republican) 79.5%[84]
,,,,,,Josh McCall (Democratic) 20.5%[84]
,,,,,,Robin Gilmer (Libertarian)[84]
,,,,,,Clifford Baxter(write-in)[90]
Georgia 10,R+15,Jody Hice,Republican,2014,Incumbent re-elected.,√ Jody Hice (Republican) 62.9%[84]
,,,,,,Tabitha Johnson-Green (Democratic) 37.1%[84]
Georgia 11,R+17,Barry Loudermilk,Republican,2014,Incumbent re-elected.,√ Barry Loudermilk (Republican) 61.8%[84]
,,,,,,Flynn Broady (Democratic) 38.2%[84]
Georgia 12,R+9,Rick Allen,Republican,2014,Incumbent re-elected.,√ Rick Allen (Republican) 59.5%[84]
,,,,,,Francys Johnson (Democratic) 40.5%[84]
,,,,,,Brian Brown (write-in)[90]
Georgia 13,D+20,David Scott,Democratic,2002,Incumbent re-elected.,√ David Scott (Democratic) 76.2%[84]
,,,,,,David Callahan (Republican) 23.8%[84]
,,,,,,Martin Cowen (Libertarian)[84]
Georgia 14,R+27,Tom Graves,Republican,2010 (Special),Incumbent re-elected.,√ Tom Graves (Republican) 76.5%[84]
,,,,,,Steve Foster (Democratic) 23.5%[84]
Hawaii 1,D+17,Colleen Hanabusa,Democratic,2016,Incumbent retired to run for Governor.,√ Ed Case (Democratic) 73.1%[91]
,,,,,New member elected.,Campbell Cavasso (Republican) 23.1%[91]
,,,,,Democratic hold.,Michelle Tippens (Libertarian) 1.9%[91]
,,,,,,Zachary Burd (Green) 1.2%[91]
,,,,,,Calvin Griffin (Nonpartisan) 0.7%[91]
Hawaii 2,D+19,Tulsi Gabbard,Democratic,2012,Incumbent re-elected.,√ Tulsi Gabbard (Democratic) 77.4%[91]
,,,,,,Brian Evans (Republican) 22.6%[91]
Idaho 1,R+21,Raúl Labrador,Republican,2010,Incumbent retired to run for Governor.,√ Russ Fulcher (Republican) 63.3%[92]
,,,,,New member elected.,Cristina McNeil (Democratic) 30.3%[92]
,,,,,Republican hold.,Natalie Fleming (Independent) 2.0%
,,,,,,Scott Howard (Libertarian) 1.7%[92]
,,,,,,Paul Farmer (Independent) 1.4%
,,,,,,Pro-Life (Constitution) 1.0%
,,,,,,Gordon Counsil (Independent) 0.3%
Idaho 2,R+17,Mike Simpson,Republican,1998,Incumbent re-elected.,√ Mike Simpson (Republican) 60.7%[92]
,,,,,,Aaron Swisher (Democratic) 39.3%[92]
Illinois 1,D+27,Bobby Rush,Democratic,1992,Incumbent re-elected.,√ Bobby Rush (Democratic)[93]
,,,,,,Jimmy Tillman (Republican)[93]
Illinois 2,D+29,Robin Kelly,Democratic,2013 (Special),Incumbent re-elected.,√ Robin Kelly (Democratic) 81.0%[93]
,,,,,,David Merkle (Republican) 19.0%[93]
Illinois 3,D+6,Dan Lipinski,Democratic,2004,Incumbent re-elected.,√ Dan Lipinski (Democratic) 73.7%[93]
,,,,,,Arthur Jones (Republican) 26.3%[93]
Illinois 4,D+33,Luis Gutiérrez,Democratic,1992,Incumbent retired.,"√ Jesús ""Chuy"" García (Democratic) 86.5%[93]"
,,,,,New member elected.,Mark Lorch (Republican) 13.5%[93]
,,,,,Democratic hold.,
Illinois 5,D+20,Mike Quigley,Democratic,2008,Incumbent re-elected.,√ Mike Quigley (Democratic)[93]
,,,,,,Tom Hanson (Republican)[93]
Illinois 6,R+2,Peter Roskam,Republican,2006,Incumbent lost re-election.,√ Sean Casten (Democratic)[93]
,,,,,New member elected.,Peter Roskam (Republican)[93]
,,,,,Democratic gain.,
Illinois 7,D+38,Danny Davis,Democratic,1996,Incumbent re-elected.,√ Danny Davis (Democratic) 87.6%[93]
,,,,,,Craig Cameron (Republican) 12.4%[93]
Illinois 8,D+8,Raja Krishnamoorthi,Democratic,2016,Incumbent re-elected.,√ Raja Krishnamoorthi (Democratic) 65.7%[93]
,,,,,,JD Diganvker (Republican) 34.3%[93]
Illinois 9,D+18,Jan Schakowsky,Democratic,1998,Incumbent re-elected.,√ Jan Schakowsky (Democratic) 73.3%[93]
,,,,,,John Elleson (Republican) 26.7%[93]
Illinois 10,D+10,Brad Schneider,Democratic,2016,Incumbent re-elected.,√ Brad Schneider (Democratic) 65.4%[93]
,,,,,,Douglas Bennett (Republican) 34.6%[93]
Illinois 11,D+9,Bill Foster,Democratic,2012,Incumbent re-elected.,√ Bill Foster (Democratic) 63.6%[93]
,,,,,,Nick Stella (Republican) 36.4%[93]
Illinois 12,R+5,Mike Bost,Republican,2014,Incumbent re-elected.,√ Mike Bost (Republican) 51.7%[93]
,,,,,,Brendan Kelly (Democratic) 45.3%[93]
,,,,,,Randall Auxier (Green) 3.0%[94]
Illinois 13,R+3,Rodney Davis,Republican,2012,Incumbent re-elected.,√ Rodney Davis (Republican) 52.2%[93]
,,,,,,Betsy Dirksen Londrigan (Democratic) 47.8%[93]
Illinois 14,R+5,Randy Hultgren,Republican,2010,Incumbent lost re-election.,√ Lauren Underwood (Democratic) 51.9%[93]
,,,,,New member elected.,Randy Hultgren (Republican) 48.1%[93]
,,,,,Democratic gain.,
Illinois 15,R+21,John Shimkus,Republican,1996,Incumbent re-elected.,√ John Shimkus (Republican) 71.7%[93]
,,,,,,Kevin Gaither (Democratic) 28.3%[93]
Illinois 16,R+8,Adam Kinzinger,Republican,2010,Incumbent re-elected.,√ Adam Kinzinger (Republican) 59.5%[93]
,,,,,,Sara Dady (Democratic) 40.4%[93]
Illinois 17,D+3,Cheri Bustos,Democratic,2012,Incumbent re-elected.,√ Cheri Bustos (Democratic) 61.9%[93]
,,,,,,Bill Fawell (Republican) 38.1%[93]
Illinois 18,R+15,Darin LaHood,Republican,2015 (Special),Incumbent re-elected.,√ Darin LaHood (Republican) 67.2%[93]
,,,,,,Junius Rodriguez (Democratic) 32.8%[93]
Indiana 1,D+8,Pete Visclosky,Democratic,1984,Incumbent re-elected.,√ Pete Visclosky (Democratic) 65.1%[95]
